iter	Passed	Remaining
0	16	1307
1	54	2143
2	88	2267
3	122	2330
4	167	2515
5	200	2471
6	230	2405
7	263	2373
8	293	2318
9	322	2258
10	354	2226
11	386	2188
12	417	2151
13	451	2126
14	493	2140
15	527	2110
16	566	2100
17	601	2071
18	667	2144
19	707	2123
20	766	2153
21	804	2119
22	846	2097
23	891	2080
24	941	2072
25	995	2068
26	1052	2066
27	1124	2088
28	1190	2093
29	1251	2085
30	1308	2067
31	1358	2037
32	1399	1993
33	1443	1952
34	1490	1915
35	1537	1878
36	1593	1851
37	1638	1811
38	1676	1762
39	1725	1725
40	1782	1695
41	1836	1661
42	1895	1630
43	1964	1607
44	2035	1583
45	2084	1540
46	2132	1497
47	2181	1454
48	2225	1407
49	2267	1360
50	2309	1313
51	2361	1271
52	2404	1225
53	2448	1178
54	2491	1132
55	2551	1093
56	2599	1049
57	2646	1003
58	2688	957
59	2732	910
60	2772	863
61	2818	818
62	2861	772
63	2905	726
64	2959	683
65	3007	638
66	3057	593
67	3108	548
68	3173	505
69	3226	460
70	3271	414
71	3315	368
72	3358	322
73	3399	275
74	3446	229
75	3491	183
76	3546	138
77	3603	92
78	3647	46
79	3689	0
