iter	Passed	Remaining
0	39	3138
1	55	2162
2	92	2375
3	133	2535
4	184	2769
5	230	2848
6	274	2862
7	325	2926
8	367	2900
9	422	2955
10	484	3036
11	568	3222
12	658	3393
13	722	3407
14	771	3344
15	819	3276
16	866	3212
17	914	3151
18	968	3109
19	1015	3047
20	1064	2991
21	1119	2950
22	1158	2872
23	1196	2791
24	1237	2723
25	1278	2654
26	1324	2599
27	1367	2540
28	1410	2480
29	1454	2424
30	1496	2365
31	1537	2305
32	1577	2247
33	1639	2217
34	1687	2169
35	1728	2112
36	1776	2064
37	1819	2011
38	1864	1960
39	1905	1905
40	1944	1850
41	1987	1798
42	2032	1748
43	2074	1697
44	2115	1645
45	2168	1602
46	2207	1549
47	2252	1501
48	2299	1454
49	2339	1403
50	2384	1355
51	2428	1307
52	2471	1259
53	2515	1211
54	2558	1162
55	2598	1113
56	2652	1070
57	2697	1023
58	2738	974
59	2778	926
60	2826	880
61	2865	831
62	2919	787
63	2960	740
64	3003	693
65	3042	645
66	3081	597
67	3124	551
68	3164	504
69	3204	457
70	3247	411
71	3290	365
72	3335	319
73	3382	274
74	3439	229
75	3488	183
76	3528	137
77	3571	91
78	3624	45
79	3687	0
