iter	Passed	Remaining
0	21	1727
1	65	2547
2	106	2728
3	155	2960
4	220	3308
5	334	4121
6	393	4100
7	459	4137
8	506	3997
9	560	3926
10	606	3801
11	648	3677
12	695	3587
13	738	3482
14	785	3403
15	824	3298
16	870	3224
17	914	3148
18	961	3085
19	1006	3018
20	1049	2947
21	1093	2882
22	1135	2813
23	1178	2750
24	1222	2688
25	1278	2655
26	1320	2591
27	1358	2523
28	1402	2466
29	1444	2407
30	1488	2353
31	1547	2321
32	1591	2267
33	1634	2211
34	1674	2153
35	1719	2101
36	1758	2043
37	1804	1994
38	1845	1940
39	1888	1888
40	1928	1834
41	1968	1781
42	2015	1734
43	2057	1683
44	2102	1635
45	2142	1583
46	2182	1532
47	2219	1479
48	2261	1430
49	2316	1389
50	2355	1339
51	2403	1294
52	2450	1248
53	2488	1198
54	2530	1150
55	2576	1104
56	2621	1057
57	2664	1010
58	2714	966
59	2755	918
60	2797	871
61	2837	823
62	2881	777
63	2922	730
64	2969	685
65	3018	640
66	3063	594
67	3117	550
68	3165	504
69	3213	459
70	3254	412
71	3313	368
72	3359	322
73	3404	276
74	3441	229
75	3483	183
76	3521	137
77	3565	91
78	3613	45
79	3665	0
