iter	Passed	Remaining
0	18	1453
1	63	2475
2	113	2923
3	166	3171
4	233	3503
5	324	3997
6	381	3978
7	448	4039
8	513	4047
9	558	3910
10	603	3787
11	650	3685
12	695	3585
13	745	3515
14	799	3465
15	864	3456
16	928	3440
17	990	3411
18	1049	3368
19	1120	3360
20	1180	3315
21	1249	3294
22	1318	3266
23	1370	3197
24	1420	3125
25	1469	3051
26	1513	2971
27	1554	2886
28	1597	2808
29	1639	2732
30	1686	2666
31	1731	2596
32	1776	2530
33	1816	2458
34	1879	2416
35	1921	2348
36	1961	2279
37	2002	2212
38	2046	2151
39	2090	2090
40	2134	2030
41	2182	1974
42	2295	1975
43	2340	1914
44	2377	1849
45	2422	1790
46	2477	1739
47	2531	1687
48	2556	1617
49	2607	1564
50	2649	1506
51	2686	1446
52	2736	1394
53	2780	1338
54	2824	1283
55	2868	1229
56	2910	1174
57	2951	1119
58	3003	1068
59	3078	1026
60	3136	977
61	3201	929
62	3260	879
63	3317	829
64	3358	775
65	3405	722
66	3454	670
67	3498	617
68	3536	563
69	3578	511
70	3618	458
71	3665	407
72	3713	356
73	3752	304
74	3793	252
75	3833	201
76	3873	150
77	3916	100
78	3965	50
79	4009	0
