iter	Logloss
0	0.3005937435
1	0.2244556995
2	0.1974419613
3	0.1859693554
4	0.1800404999
5	0.1760422015
6	0.1735905262
7	0.1722724607
8	0.1709741187
9	0.169729703
10	0.1685496136
11	0.167570096
12	0.1672212704
13	0.1665708014
14	0.1662792651
15	0.1657999852
16	0.165416599
17	0.1647597856
18	0.1646505578
19	0.1643696843
20	0.1641859423
21	0.1636643727
22	0.1629095568
23	0.1622237973
24	0.1619205311
25	0.1613886243
26	0.1609097652
27	0.159653387
28	0.1590332219
29	0.158701701
30	0.1585058033
31	0.1581914349
32	0.1578908906
33	0.1572975292
34	0.1571057652
35	0.1566669164
36	0.1562396503
37	0.1561757718
38	0.1555880913
39	0.155394587
40	0.1545547156
41	0.1539788149
42	0.1537177241
43	0.1533914132
44	0.15274194
45	0.1524568591
46	0.1520908509
47	0.1518114475
48	0.1515218468
49	0.1505914221
50	0.150147896
51	0.1501476788
52	0.1497307739
53	0.1494061791
54	0.1492061696
55	0.1488312162
56	0.1486660878
57	0.1481096643
58	0.1475279862
59	0.1471131726
60	0.1463641842
61	0.1461804839
62	0.1457568659
63	0.1455991198
64	0.1455689069
65	0.145447952
66	0.1452645618
67	0.1450411474
68	0.1446686126
69	0.1439313997
70	0.1436515693
71	0.1431637377
72	0.1428341537
73	0.1426406132
74	0.1422298648
75	0.1421780592
76	0.1417636694
77	0.1413865063
78	0.1411205019
79	0.140979964
